StemUrn,LexicalEntity,Stem,Gender,InflClass,Accent,Tags
hmtstems.n14584_0,lexent.n14584,boul,fem,h_hs,inflacc,
hmtstems.n67485_0,lexent.n67485,mhn,fem,is_ios,stempenacc,
hmtstems.n72734_0,lexent.n72734,oi)wn,masc,os_ou,inflacc,
hmtstems.n3391_0,lexent.n3391,e(lwri,neut,os_ou,stempenacc,
hmtstems.n106566_0,lexent.n106566,ui(,masc,os_ou,inflacc,
hmtstems.n19546_0,lexent.n19546,basil,masc,eus_ews,inflacc,
hmtstems.n48291_0,lexent.n48291,qe,masc,os_ou,inflacc,
hmtstems.n69052_0,lexent.n69052,muq,masc,os_ou,stemultacc,
hmtstems.n69714_0,lexent.n69714,na,masc,os_ou,inflacc,
hmtstems.n102589_0,lexent.n102589,taur,masc,os_ou,stemultacc,
hmtstems.n116218,lexent.n116218,w)m,masc,os_ou,stemultacc,
hmtstems.n50605,lexent.n50605,i),masc,os_ou,inflacc,

